survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Krama Inggil,Jawa,Jawa,SLTA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Wiraswasta,Islam,1973,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,petani,Islam,,Jawa,Indonesia
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,petani,Islam,,Jawa,Indonesia
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,petani,Islam,,Jawa,Indonesia
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,petani,Islam,,Jawa,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,EERWKX,1996,Jawa Timur - Kabupaten Bojonegoro,Perempuan,orang tua,lebih dari 24,Ibu,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,SMP,Jawa Timur - Kabupaten Bojonegoro, Jawa Timur - Kabupaten Bojonegoro,Petani,Islam,1976,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,SMA,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,Petani,Islam,1965,Jawa Ngoko,Jawa Krama
,,,,,,,Ibu dari ibu,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,petani,Islam,1950,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak dari ibu,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro ,petani,Islam,1950,Jawa Ngoko,Jawa Krama
,,,,,,,Ibu dari bapak,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,petani,Islam,1950,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak dari bapak,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,,Islam,1950,Jawa Ngoko,Jawa Krama
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,SKIOUU,1995,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Perempuan,orang tua,1-2,Ibu,Ngoko,Jawa Krama Inggil,Ngoko,Jawa Krama Madya,Jawa Ngoko Alus,Jawa Krama Inggil,Jawa,SMP,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,ibu rumah tangga,Islam,1970,Krama Jogja,
,,,,,,,Bapak,Ngoko,Jawa Krama Inggil,Jawa Krama Inggil,Jawa Krama Madya,Jawa Ngoko Alus,Jawa Krama Inggil,Jawa,SMA,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,petani,Islam,1965,Krama Jogja,
,,,,,,,Ibu dari ibu,Jawa,Jawa,,Jawa Krama,Jawa Krama,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,petani,Islam,1935,Jawa Krama,
,,,,,,,Bapak dari ibu,Jawa,Jawa,,Jawa Krama,Ngoko,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,petani,Islam,1920,Jawa Krama,
,,,,,,,Ibu dari bapak,Jawa,Jawa,,Jawa Krama,Jawa Krama,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,petani,Islam,1920,Jawa Krama,
,,,,,,,Bapak dari bapak,Jawa,Jawa,,Jawa Krama,Ngoko,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,Daerah Istimewa Yogyakarta - Kabupaten Gunung Kidul,petani,Islam,1910,Jawa Krama,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa Krama,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,UKORNV,1996,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Perempuan,"bapak, ibu, saudara",6-12,Ibu,Jawa Ngoko,Jawa Ngoko,,Jawa Krama,Jawa Ngoko,Jawa Ngoko,Jawa,SMP,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kota Yogyakarta,ibu rumah tangga,Islam,1971,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak,Jawa Ngoko,Jawa Ngoko,Jawa Krama,Jawa Krama,Jawa Ngoko,Jawa Ngoko,Jawa,SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,buruh,Islam,1966,Jawa Ngoko,Jawa Krama
,,,,,,,Ibu dari ibu,Jawa Ngoko,Jawa Ngoko,,Jawa Krama,Jawa Ngoko,Jawa Ngoko,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak dari ibu,Jawa Ngoko,Jawa Ngoko,,Jawa Krama,Jawa Ngoko,Jawa Ngoko,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa Ngoko,Jawa Krama
,,,,,,,Ibu dari bapak,Jawa Ngoko,Jawa Ngoko,,Jawa Krama,Jawa Ngoko,Jawa Ngoko,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa Ngoko,Jawa Krama
,,,,,,,Bapak dari bapak,Jawa Ngoko,Jawa Ngoko,,Jawa Krama,Jawa Ngoko,Jawa Ngoko,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa Ngoko,Jawa Krama
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,WDPEMB,1996,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,tiyang sepuh,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,buruh,Islam,1978,Jawa,
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,1974,Jawa,
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,buruh,Islam,1949,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,buruh,Islam,1947,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,buruh,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul, Daerah Istimewa Yogyakarta - Kabupaten Bantul,buruh,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,VALRMT,1996,Jawa Timur - Kabupaten Ponorogo,Laki,bapak,lebih dari 24,Ibu,Ponorogo,Ponorogo,Ponorogo,Ngoko,Ponorogo,Ngoko,Jawa,SMA,Jawa Timur - Kabupaten Ponorogo,Jawa Timur - Kabupaten Ponorogo,guru TK,Islam,1971,Ponorogo,
,,,,,,,Bapak,Ponorogo,Ponorogo,Ponorogo,Ngoko,Ponorogo,Ngoko,Jawa,S1,Jawa Timur - Kabupaten Ponorogo,Jawa Timur - Kabupaten Ponorogo,guru,Islam,1961,Ponorogo,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,1956,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,1949,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,HMKWVL,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Laki,ayah dan ibu,lebih dari 24,Ibu,Jawa Bantul,Jawa,Jawa,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,,Jawa,Indonesia
,,,,,,,Bapak,Jawa Bantul,Jawa,Jawa,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Buruh,Islam,,Jawa,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,GOKDTI,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Laki,Orangtua,lebih dari 24,Ibu,"Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama",Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,1976,"Jawa Ngoko, Krama",Indonesia
,,,,,,,Bapak,"Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama","Jawa Ngoko, Krama",Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,1972,"Jawa Ngoko, Krama",Indonesia
,,,,,,,Ibu dari ibu,Jawa Krama,Jawa Krama,,Jawa Krama,Jawa Krama,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,"Jawa Ngoko, Krama",Indonesia
,,,,,,,Bapak dari ibu,Jawa Krama,Jawa Krama,,Jawa Krama,Jawa Krama,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul ,,Islam,,"Jawa Ngoko, Krama",Indonesia
,,,,,,,Ibu dari bapak,Jawa Krama,Jawa Krama,,Jawa Krama,Jawa Krama,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,"Jawa Ngoko, Krama",Indonesia
,,,,,,,Bapak dari bapak,Jawa Krama,Jawa Krama,,Jawa Krama,Jawa Krama,Jawa Krama,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,"Jawa Ngoko, Krama",Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,ADRRSG,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Orangtua,3-5,Ibu,Jawa Ngoko Yogyakarta,Jawa Ngoko Yogyakarta,Jawa Krama Madya Yogya,Jawa Krama Madya,Jawa Ngoko Yogyakarta,Jawa Ngoko Yogyakarta,Jawa,SD,Jawa Tengah - Kabupaten Klaten,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Wiraswasta,Islam,1968,Jawa Ngoko Yogyakarta,Jawa Krama
,,,,,,,Bapak,Jawa Ngoko Yogyakarta,Jawa Ngoko Yogyakarta,Jawa Krama Madya,Jawa Ngoko,Jawa Ngoko Yogyakarta,Jawa Ngoko,Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,PNS,Islam,1965,Jawa Ngoko Yogyakarta,Jawa Krama
,,,,,,,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,,Islam,,Jawa,Jawa
,,,,,,,Bapak dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,,Islam,,Jawa,Jawa
,,,,,,,Ibu dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul, Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,Jawa,Jawa
,,,,,,,Bapak dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,Jawa,Jawa
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,QZIQZC,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Orangtua,6-12,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Pedagang,Islam,,Jawa,
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Wiraswasta,Islam,,Jawa,
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Pedagang,Islam,,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Pedagang,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,QVSPZS,1996,Jawa Timur - Kota Malang,Perempuan,Orangtua,6-12,Ibu,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kota Malang,Ibu rumah tangga,Islam,,Jawa Timur,Madura
,,,,,,,Bapak,Jawa,Jawa,Indonesia,"Jawa, Indonesia",Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kota Malang,TNI-AD,Islam,,Jawa Timur,Madura
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Jawa Timur - Kabupaten Jombang,,Islam,,Jawa,Madura
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Jawa Timur - Kabupaten Jombang,,Islam,,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Madura Jawa,, ,Jawa Timur - Kabupaten Jombang,Bekerja pabrik,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Madura Jawa,, ,Jawa Timur - Kabupaten Jombang,Pedagang,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,VGGKTU,1995,Jawa Tengah - Kabupaten Tegal,Laki,Ibu dan kakek,3-5,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD kelas 2,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Buruh,Islam,1954,Jawa,Jawa
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Brebes,Buruh,Islam,1950,Jawa,Jawa
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Buruh,Islam,1944,Jawa,Jawa
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Buruh,Islam,1943,Jawa,Jawa
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Buruh,Islam,1942,Jawa,Jawa
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Buruh,Islam,1945,Jawa,Jawa
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,GMAXRS,1993,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Perempuan,Orangtua,lebih dari 24,Ibu,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,SMA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kabupaten Sleman,PAMONG PAUD,,1967,Jawa,Jawa
,,,,,,,Bapak,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,SMK,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kabupaten Sleman,,,1964,Jawa,Jawa
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Petani,Islam,1920,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Dukuh,Islam,1920,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Petani,Islam,1920,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Petani,Islam,1920,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,INUYJK,1997,Jawa Tengah - Kabupaten Magelang,Perempuan,Keluarga,lebih dari 24,Ibu,Ngoko,Ngoko,Ngoko,Krama,Ngoko,Krama,Jawa,SMA,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Jawa Tengah - Kabupaten Magelang,Petani,Islam,1971,Ngoko,Krama
,,,,,,,Bapak,Ngoko,Ngoko,Ngoko,Krama,Ngoko,Krama,Jawa,SMP,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Petani,Islam,1964,Ngoko,Krama
,,,,,,,Ibu dari ibu,Ngoko,Ngoko,Ngoko,Krama,Ngoko,Krama,Jawa,SR,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Petani,Islam,,Ngoko,Krama
,,,,,,,Bapak dari ibu,Ngoko,Ngoko,Ngoko,Krama,Ngoko,Krama,Jawa,SMP,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Petani,Islam,1950,Ngoko,Krama
,,,,,,,Ibu dari bapak,Ngoko,Ngoko,Ngoko,Krama,Ngoko,Krama,Jawa,SR,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,,Islam,,Ngoko,Krama
,,,,,,,Bapak dari bapak,Ngoko,Ngoko,Ngoko,Krama,Ngoko,Krama,Jawa,SR,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Petani,Islam,1945,Ngoko,Krama
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,MTENQV,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Tiyang sepuh,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Krama,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Wiraswasta,Islam,1970,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Wiraswasta,Islam,1964,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Buruh,Islam,1949,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Buruh,Islam,1942,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Buruh,Islam,1944,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Buruh,Islam,1930,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Yogyakarta-UNY-oktober-2014,NXYPBQ,1995,Jawa Tengah - Kabupaten Klaten,Perempuan,Orangtua,lebih dari 24,Ibu,Jawa Ngoko,Jawa,,"Jawa Ngoko, Krama",Jawa Ngoko,"Jawa Ngoko, Krama",Jawa,SD,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,Ibu rumah tangga,Islam,1969,Jawa,
,,,,,,,Bapak,Jawa Ngoko,Jawa,,"Jawa Ngoko, Krama",Jawa Ngoko,"Jawa Ngoko, Krama",Jawa,SD,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,Buruh,Islam,1960,Jawa,
,,,,,,,Ibu dari ibu,Jawa,,,"Jawa Ngoko, Krama",,"Jawa Ngoko, Krama",Jawa,, , ,,Islam,,Jawa,
,,,,,,,Bapak dari ibu,,,,,,,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Ibu dari bapak,,,,,,,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Bapak dari bapak,,,,,,,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Yogyakarta-UNY-oktober-2014,ZZKTCZ,1996,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,Orangtua,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,DKI Jakarta - Jakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Pedagang,Islam,1967,Jawa Wonosobo,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Pedagang,Islam,1960,Jawa Jogja,Indonesia
