session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
OAMUDD,1994,Jawa Timur - Kabupaten Sidoarjo,Perempuan,"Ibu, Ayah",6-12,"Indonesia, Jawa, Inggris",Jawa,Indonesia,"Indonesia, Jawa","Indonesia, Jawa",Jawa,Jawa,S1,Jawa,Jawa Timur - Kabupaten Sidoarjo,Guru,Islam,1969,Jawa,"Indonesia, Inggris","Indonesia, Jawa",Jawa,Indonesia,"Indonesia, Jawa","Indonesia, Jawa",Jawa,Jawa,S1,Jawa,Jawa Timur - Kabupaten Sidoarjo,Guru,Islam,1964,Jawa,Indonesia,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa,Jawa Timur - Kabupaten Sidoarjo,Petani,Islam,,Jawa,Indonesia,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,SD,Jawa,Almarhum,PNS,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa,Jawa Timur - Kabupaten Sidoarjo,Petani,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa,Almarhum,Petani,Islam,,Jawa,
NOMOGJ,1994,Jawa Timur - Kabupaten Bojonegoro,Perempuan,Orangtua,lebih dari 24,,,,,,,Jawa,S1,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,Guru,Islam,1973,Jawa,"Jawa, Indonesia",,,,,,,Jawa,S2,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Bojonegoro,Guru,Islam,1964,Madura,"Indonesia, Jawa, Madura",,,,,,,Jawa,,Jawa Timur - Kabupaten Bojonegoro,Jawa Timur - Kabupaten Bojonegoro,,Islam,,Madura,"Indonesia, Jawa, Madura",,,,,,,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Timur - Kabupaten Bojonegoro,,Islam,,Jawa,Indonesia,,,,,,,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kota Surabaya,,Islam,,Jawa,Indonesia,,,,,,,Madura,,Jawa Timur - Madura,Jawa Timur - Kota Surabaya,,Islam,,Jawa,"Jawa, Madura"
DBLRAW,1996,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa,Jawa,Pedagang,Islam,1983,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa,Jawa,Petani,Islam,1974,Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
THWYBB,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,1968,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,1963,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia
DOJSUI,1993,Jawa Timur - Kota Surabaya,Laki,Orangtua,lebih dari 24,Jawa,Jawa,,Jawa,Jawa,"Jawa, Indonesia",Jawa,SMK,Jawa Timur - Kabupaten Nganjuk,Jawa Timur - Kabupaten Sidoarjo,Ibu rumah tangga,Islam,1974,Jawa,Indonesia,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,SMA,Jawa Timur - Kabupaten Sidoarjo,Jawa Timur - Kabupaten Sidoarjo,Swasta,Islam,1971,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IDHVCH,1994,Jawa Timur - Kabupaten Lamongan,Laki,Orangtua,lebih dari 24,Krama Inggil,Krama Inggil,Krama,Krama,Krama Inggil,Krama,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,1967,Jawa,Jawa,Krama,Krama Inggil,Krama,Krama,Krama,Krama,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,1956,Jawa,Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
JHWDJG,1994,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,1-2,Jawa,,"Indonesia, Jawa",Jawa Krama,Jawa,Jawa Krama,Jawa,S2,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,PNS (Guru),Islam,1960,,,Jawa,,"Indonesia, Jawa",Jawa Krama,Jawa,Jawa Krama,"Lampung, Sumatera",SMA,Lampung,Jawa Timur - Kota Surabaya,TNI-AD,Islam,1964,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
SOYJUX,1994,Jawa Timur - Kota Surabaya,Laki,Orangtua,lebih dari 24,"Indonesia, Jawa","Jawa, Bali, Indonesia",Indonesia,"Indonesia, Jawa","Jawa, Bali, Indonesia","Jawa, Bali, Indonesia",Jawa,SMEA,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Swasta,Islam,1973,Jawa,Bali,"Indonesia, Jawa","Jawa, Indonesia","Indonesia, Jawa","Indonesia, Jawa","Jawa, Bali, Indonesia","Indonesia, Jawa",Jawa,SMK,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Swasta,Islam,1973,Jawa,Bali,,,,,,,Jawa,,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Sidoarjo,,Islam,1952,Jawa,Bali,,,,,,,Bali,,Jawa Timur - Kota Surabaya, ,,Islam,1952,Bali,Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
ANMQWL,1995,Jawa Timur - Kota Mojokerto,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMEA,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Kasir toko,Islam,1969,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Pegawai swasta,Islam,1967,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Dokter,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,,Islam,,Jawa,Indonesia
YDXIYS,1993,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,12-24,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,Sarjana,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Guru,Islam,1968,Jawa,Indonesia,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,Sarjana,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Guru,Islam,1964,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,1947,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,1933,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,,Jawa,Jawa
TUBEOV,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,1973,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Magetan,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,1960,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Petani,Islam,1950,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Petani,Islam,1947,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Magetan,Jawa Timur - Kabupaten Magetan,,Islam,1938,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Magetan,Jawa Timur - Kabupaten Magetan,,Islam,1935,Jawa,Indonesia
LZPSFJ,1994,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,,Jawa,Indonesia,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Wiraswasta,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,
OQBUJQ,1994,Jawa Timur - Kabupaten Sidoarjo,Perempuan,Orangtua,1-2,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia","Jawa, Indonesia","Jawa, Indonesia",Jawa,SMP,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Sidoarjo,Buruh,,1970,Jawa,Jawa,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia","Jawa, Indonesia","Jawa, Indonesia",Jawa,S1 Hukum,Jawa Timur - Kota Surabaya,Jawa Timur - Kabupaten Sidoarjo,PNS,,1958,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Jawa Timur - Kabupaten Jombang,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Jawa Timur - Kabupaten Jombang,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Jawa Timur - Kota Surabaya,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, ,Jawa Timur - Kota Surabaya,,Islam,,Jawa,
HMRJSO,1994,Jawa Timur - Kabupaten Sidoarjo,Perempuan,Orangtua,3-5,"Indonesia, Jawa",Jawa,"Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa",Jawa,S1,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Sidoarjo,Ibu rumah tangga,Islam,1968,Jawa,,"Indonesia, Jawa",Jawa,"Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa",Jawa,S1,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Sidoarjo,Guru,Islam,1964,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,
KHSAWS,1994,Jawa Timur - Kabupaten Trenggalek,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Ibu rumah tangga,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,Wiraswasta,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Trenggalek, Jawa Timur - Kabupaten Trenggalek,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Trenggalek,Jawa Timur - Kabupaten Trenggalek,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Trenggalek, Jawa Timur - Kabupaten Trenggalek,,Islam,,Jawa,
RMADZR,1995,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Pedagang,Islam,1970,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Pedagang,Islam,1974,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,,Islam,,Jawa,Indonesia
VUONZZ,1995,Jawa Timur - Kabupaten Gresik,Laki,Orangtua,12-24,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
GREVLU,1997,Jawa Timur - Madura,Laki,"Orangtua, keluarga",lebih dari 24,Madura,Madura,Madura,Madura,Madura,Madura,Madura,SMA,Jawa Timur - Madura,Jawa Timur - Madura,,Islam,,Madura,Indonesia,Madura,Madura,Madura,Madura,Madura,Madura,Madura,SMA,Jawa Timur - Madura,Jawa Timur - Madura,Pegawai negeri,Islam,,Madura,Indonesia,Madura,Madura,Madura,Madura,Madura,Madura,Madura,,Jawa Timur - Madura,Jawa Timur - Madura,,Islam,,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,,Jawa Timur - Madura,Jawa Timur - Madura,,Islam,,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,,Jawa Timur - Madura,Jawa Timur - Madura,,Islam,,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,Madura,,Jawa Timur - Madura,Jawa Timur - Madura,,Islam,,,Madura
WPKUMW,1995,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,lebih dari 24,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
GVKCAP,1995,Jawa Timur - Kabupaten Gresik,Perempuan,Orangtua,0,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Ibu rumah tangga,Islam,1969,Jawa,Krama Inggil,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Sidoarjo,Jawa Timur - Kabupaten Gresik,PNS,Islam,1967,Jawa,Krama Inggil,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,
WJSJFE,1996,Jawa Timur - Kabupaten Mojokerto,Perempuan,Orangtua,6-12,"Indonesia, Jawa",Jawa,,Jawa,Indonesia,Indonesia,Jawa,SMA,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kota Surabaya,Pegawai swasta,Islam,1964,Jawa,Indonesia,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,"Indonesia, Jawa",Jawa,"Perguruan Tinggi, S2",Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kota Surabaya,,Islam,1962,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
ZCGJWJ,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,"Orangtua, adik",lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,,Jawa,Jawa,Jawa,Jawa,Jawa halus,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,,Jawa,Jawa,Jawa,Jawa,Jawa halus,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,
ATUKKM,1994,Jawa Timur - Kota Surabaya,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Pedagang,Islam,1953,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kota Surabaya,Tukang kayu,Islam,1937,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Blitar,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Blitar,,Islam,,Jawa,
SYNMVY,1995,Jawa Timur - Kabupaten Sidoarjo,Perempuan,"Ayah, ibu, kakak",3-5,Jawa halus,Jawa Krama Inggil,,Jawa halus,Jawa halus,Jawa halus,Jawa,SMK,Jawa Timur - Kabupaten Sidoarjo,Jawa Timur - Kabupaten Sidoarjo,Ibu rumah tangga,Islam,1963,,,Jawa Ngoko,Jawa Ngoko,,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,STM,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Sidoarjo,Wiraswasta,Islam,1961,,,Jawa Ngoko,,,,Jawa Ngoko,,Jawa,,,Kabupaten Sidoarjo - Kecamatan Waru,,Islam,,,,Jawa Ngoko,,,,Jawa Ngoko,,Jawa,, ,Kabupaten Sidoarjo - Kecamatan Waru,Veteran,Islam,,,,Jawa halus,,,,Jawa halus,,Jawa,, ,Jawa Timur - Kabupaten Jombang,,Islam,,,,Jawa Ngoko,,,,Jawa Ngoko,,Jawa,, ,Jawa Timur - Kabupaten Jombang,,Islam,,,
PNCPYI,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,1-2,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Ibu rumah tangga,Islam,1968,Jawa,Banjar,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,1959,Jawa,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,
EUTKUD,1995,Jawa Timur - Kota Surabaya,Perempuan,"Nenek, orangtua",3-5,"Jawa, Madura",Madura,Jawa,"Jawa, Madura","Jawa, Madura",Madura,Madura,SD,Jawa Timur - Madura,Jawa Timur - Kota Surabaya,Pegawai pabrik,Islam,,Madura,Jawa,"Jawa, Madura",Madura,"Jawa, Madura","Jawa, Madura","Jawa, Madura",Madura,Madura,SMP,Jawa Timur - Madura,Jawa Timur - Kota Surabaya,Buruh angkut,Islam,,Madura,Jawa,Madura,Madura,Madura,Madura,Madura,Madura,Madura,,Jawa Timur - Madura,Jawa Timur - Madura,,Islam,,Madura,Jawa,Madura,Madura,Madura,Madura,Madura,Madura,Madura,,Jawa Timur - Madura, Jawa Timur - Madura,,,,Madura,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Madura,,Jawa Timur - Madura,Jawa Timur - Kota Surabaya,,,,Madura,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Madura,,Jawa Timur - Madura,Jawa Timur - Kota Surabaya,,,,Madura,
